==25585== NVPROF is profiling process 25585, command: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==25585== Profiling application: /home/aaron/miniconda3/envs/envRDkit/bin/python -m ipykernel_launcher -f /home/aaron/.local/share/jupyter/runtime/kernel-49e6b545-dbd0-4cce-8ede-4f0ea2f51625.json
==25585== Profiling result:
==25585== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "GeForce GTX TITAN X (0)"
    Kernel: void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<bool, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_boolean_not_op<bool>, Eigen::TensorMap<Eigen::Tensor<bool const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(bool, int=1)
          8                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          8                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          8                           dram_read_bytes                                Total bytes read from DRAM to L2 cache         416         928         608
          8                          dram_write_bytes                             Total bytes written from L2 cache to DRAM        1408        1920        1728
          8               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.          32          32          32
          8                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          8              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          8                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          8                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          8             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          8                      global_load_requests              Total number of global load requests from Multiprocessor           1           1           1
          8                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          8                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          8                     global_store_requests             Total number of global store requests from Multiprocessor           1           1           1
          8                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          8                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          8                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          8                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          8                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          8                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
          8                     texture_load_requests             Total number of texture Load requests from Multiprocessor           0           0           0
          8                          stall_inst_fetch                              Issue Stall Reasons (Instructions Fetch)       6.69%       7.49%       7.24%
          8                     stall_exec_dependency                            Issue Stall Reasons (Execution Dependency)      10.98%      12.15%      11.77%
          8                   stall_memory_dependency                                    Issue Stall Reasons (Data Request)       1.76%       2.42%       1.98%
          8                             stall_texture                                         Issue Stall Reasons (Texture)       0.00%       0.00%       0.00%
          8                                stall_sync                                 Issue Stall Reasons (Synchronization)       0.00%       0.00%       0.00%
          8                               stall_other                                           Issue Stall Reasons (Other)       5.67%       6.37%       6.18%
          8          stall_constant_memory_dependency                              Issue Stall Reasons (Immediate constant)      71.89%      74.72%      72.62%
          8                           stall_pipe_busy                                       Issue Stall Reasons (Pipe Busy)       0.00%       0.02%       0.01%
          8                     stall_memory_throttle                                 Issue Stall Reasons (Memory Throttle)       0.13%       0.15%       0.15%
          8                        stall_not_selected                                    Issue Stall Reasons (Not Selected)       0.03%       0.06%       0.04%
          8                  sysmem_read_transactions                                       System Memory Read Transactions           0           0           0
          8                 sysmem_write_transactions                                      System Memory Write Transactions           5           5           5
          8                      l2_read_transactions                                                  L2 Read Transactions          24          36          28
          8                     l2_write_transactions                                                 L2 Write Transactions           7           7           7
          8                          ecc_transactions                                                      ECC Transactions           0           0           0
          8                     local_memory_overhead                                                 Local Memory Overhead       0.00%       0.00%       0.00%
          8                        tex_cache_hit_rate                                                Unified Cache Hit Rate       0.00%       0.00%       0.00%
          8                      l2_tex_read_hit_rate                                           L2 Hit Rate (Texture Reads)       0.00%       0.00%       0.00%
          8                     l2_tex_write_hit_rate                                          L2 Hit Rate (Texture Writes)       0.00%       0.00%       0.00%
          8                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  10.179MB/s  10.213MB/s  10.198MB/s
          8                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  10.179MB/s  10.213MB/s  10.198MB/s
          8                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)           1           1           1
          8                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)           1           1           1
          8                        l2_read_throughput                                                 L2 Throughput (Reads)  244.47MB/s  367.31MB/s  290.66MB/s
          8                       l2_write_throughput                                                L2 Throughput (Writes)  71.255MB/s  71.494MB/s  71.389MB/s
          8                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                   sysmem_write_throughput                                        System Memory Write Throughput  50.897MB/s  51.067MB/s  50.992MB/s
          8                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          8                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          8                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          8                        sysmem_utilization                                             System Memory Utilization     Low (1)     Low (1)     Low (1)
          8                            ecc_throughput                                                        ECC Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          8                   sysmem_read_utilization                                        System Memory Read Utilization    Idle (0)    Idle (0)    Idle (0)
          8                  sysmem_write_utilization                                       System Memory Write Utilization     Low (1)     Low (1)     Low (1)
          8               pcie_total_data_transmitted                                           PCIe Total Data Transmitted           0         512         192
          8                  pcie_total_data_received                                              PCIe Total Data Received           0         512         128
          8                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          8                        sysmem_write_bytes                                             System Memory Write Bytes         160         160         160
          8                           l2_tex_hit_rate                                                     L2 Cache Hit Rate       0.00%       0.00%       0.00%
          8                          gld_transactions                                              Global Load Transactions           3           3           3
          8              gld_transactions_per_request                                  Global Load Transactions Per Request    3.000000    3.000000    3.000000
          8                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.240206    0.315615    0.281782
          8                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          8                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
    Kernel: void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap<Eigen::Tensor<float, int=1, int=1, int>, int=16, Eigen::MakePointer>, Eigen::TensorCwiseUnaryOp<Eigen::internal::scalar_sign_op<float, bool=0>, Eigen::TensorMap<Eigen::Tensor<float const , int=1, int=1, int>, int=16, Eigen::MakePointer> const > const > const , Eigen::GpuDevice>, int>(float, int=1)
          2                             sm_efficiency                                               Multiprocessor Activity       1.30%       1.32%       1.31%
          2                        achieved_occupancy                                                    Achieved Occupancy    0.352527    0.353412    0.352970
          2                                       ipc                                                          Executed IPC    0.283054    0.349693    0.316374
          2                                issued_ipc                                                            Issued IPC    0.317881    0.403053    0.360467
          2                             inst_per_warp                                                 Instructions per warp   14.250000   14.250000   14.250000
          2                         branch_efficiency                                                     Branch Efficiency     100.00%     100.00%     100.00%
          2                 warp_execution_efficiency                                             Warp Execution Efficiency     100.00%     100.00%     100.00%
          2         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      96.49%      96.49%      96.49%
          2                      inst_replay_overhead                                           Instruction Replay Overhead    0.157895    0.157895    0.157895
          2                    issue_slot_utilization                                                Issue Slot Utilization       7.83%       9.92%       8.88%
          2      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          2     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          2       local_load_transactions_per_request                            Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          2      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          2              gst_transactions_per_request                                 Global Store Transactions Per Request    4.000000    4.000000    4.000000
          2                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          2                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          2                   local_load_transactions                                               Local Load Transactions           0           0           0
          2                  local_store_transactions                                              Local Store Transactions           0           0           0
          2                          gst_transactions                                             Global Store Transactions          32          32          32
          2                    dram_read_transactions                                       Device Memory Read Transactions          68          68          68
          2                   dram_write_transactions                                      Device Memory Write Transactions         108         124         116
          2                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          2                            local_hit_rate                                                        Local Hit Rate       0.00%       0.00%       0.00%
          2                  gld_requested_throughput                                      Requested Global Load Throughput  319.03MB/s  319.14MB/s  319.09MB/s
          2                  gst_requested_throughput                                     Requested Global Store Throughput  319.03MB/s  319.14MB/s  319.09MB/s
          2                            gld_throughput                                                Global Load Throughput  319.03MB/s  319.14MB/s  319.09MB/s
          2                            gst_throughput                                               Global Store Throughput  319.03MB/s  319.14MB/s  319.09MB/s
          2                      dram_read_throughput                                         Device Memory Read Throughput  677.95MB/s  678.17MB/s  678.06MB/s
          2                     dram_write_throughput                                        Device Memory Write Throughput  1.0518GB/s  1.2073GB/s  1.1296GB/s
          2                      tex_cache_throughput                                              Unified Cache Throughput  319.03MB/s  319.14MB/s  319.09MB/s
          2                     local_load_throughput                                          Local Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                    local_store_throughput                                         Local Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          2                            gld_efficiency                                         Global Memory Load Efficiency     100.00%     100.00%     100.00%
          2                            gst_efficiency                                        Global Memory Store Efficiency     100.00%     100.00%     100.00%
          2                    tex_cache_transactions                                            Unified Cache Transactions          32          32          32
          2                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2                        tex_fu_utilization                                     Texture Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          2                    special_fu_utilization                                     Special Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          2                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          2                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          2                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          2                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          2                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          2                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          2                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          2                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          2                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          2                             inst_executed                                                 Instructions Executed         456         456         456
          2                               inst_issued                                                   Instructions Issued         528         528         528
          2                          dram_utilization                                             Device Memory Utilization     Low (1)     Low (1)     Low (1)
          2                           tex_utilization                                             Unified Cache Utilization     Low (1)     Low (1)     Low (1)
          2                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          2                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          2                                inst_fp_32                                               FP Instructions(Single)         512         512         512
          2                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          2                              inst_integer                                                  Integer Instructions        7424        7424        7424
          2                          inst_bit_convert                                              Bit-Convert Instructions         256         256         256
          2                              inst_control                                             Control-Flow Instructions        1024        1024        1024
          2                        inst_compute_ld_st                                               Load/Store Instructions         512         512         512
          2                                 inst_misc                                                     Misc Instructions        4352        4352        4352
          2           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          2                               issue_slots                                                           Issue Slots         520         520         520
          2                                 cf_issued                                      Issued Control-Flow Instructions          48          48          48
          2                               cf_executed                                    Executed Control-Flow Instructions          48          48          48
          2                               ldst_issued                                        Issued Load/Store Instructions         128         128         128
          2                             ldst_executed                                      Executed Load/Store Instructions          80          80          80
          2                       atomic_transactions                                                   Atomic Transactions           0           0           0
          2           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          2                inst_executed_global_loads                              Warp level instructions for global loads           8           8           8
          2                 inst_executed_local_loads                               Warp level instructions for local loads           0           0           0
          2                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          2               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
          2               inst_executed_global_stores                             Warp level instructions for global stores           8           8           8
          2                inst_executed_local_stores                              Warp level instructions for local stores           0           0           0
          2               inst_executed_shared_stores                             Warp level instructions for shared stores           0           0           0
          2              inst_executed_surface_stores                            Warp level instructions for surface stores           0           0           0
          2              inst_executed_global_atomics                  Warp level instructions for global atom and atom cas           0           0           0
          2           inst_executed_global_reductions                         Warp level instructions for global reductions           0           0           0
          2             inst_executed_surface_atomics                 Warp level instructions for surface atom and atom cas           0           0           0
          2          inst_executed_surface_reductions                        Warp level instructions for surface reductions           0           0           0
          2              inst_executed_shared_atomics                  Warp level shared instructions for atom and atom CAS           0           0           0
          2                     inst_executed_tex_ops                                   Warp level instructions for texture           0           0           0
          2                      l2_global_load_bytes       Bytes read from L2 for misses in Unified Cache for global loads        1024        1024        1024
          2                       l2_local_load_bytes        Bytes read from L2 for misses in Unified Cache for local loads           0           0           0
          2                     l2_surface_load_bytes      Bytes read from L2 for misses in Unified Cache for surface loads           0           0           0
          2                           dram_read_bytes                                Total bytes read from DRAM to L2 cache        2176        2176        2176
          2                          dram_write_bytes                             Total bytes written from L2 cache to DRAM        3456        3968        3712
          2               l2_local_global_store_bytes   Bytes written to L2 from Unified Cache for local and global stores.        1024        1024        1024
          2                 l2_global_reduction_bytes          Bytes written to L2 from Unified cache for global reductions           0           0           0
          2              l2_global_atomic_store_bytes             Bytes written to L2 from Unified cache for global atomics           0           0           0
          2                    l2_surface_store_bytes            Bytes written to L2 from Unified Cache for surface stores.           0           0           0
          2                l2_surface_reduction_bytes         Bytes written to L2 from Unified Cache for surface reductions           0           0           0
          2             l2_surface_atomic_store_bytes    Bytes transferred between Unified Cache and L2 for surface atomics           0           0           0
          2                      global_load_requests              Total number of global load requests from Multiprocessor          32          32          32
          2                       local_load_requests               Total number of local load requests from Multiprocessor           0           0           0
          2                     surface_load_requests             Total number of surface load requests from Multiprocessor           0           0           0
          2                     global_store_requests             Total number of global store requests from Multiprocessor          32          32          32
          2                      local_store_requests              Total number of local store requests from Multiprocessor           0           0           0
          2                    surface_store_requests            Total number of surface store requests from Multiprocessor           0           0           0
          2                    global_atomic_requests            Total number of global atomic requests from Multiprocessor           0           0           0
          2                 global_reduction_requests         Total number of global reduction requests from Multiprocessor           0           0           0
          2                   surface_atomic_requests           Total number of surface atomic requests from Multiprocessor           0           0           0
          2                surface_reduction_requests        Total number of surface reduction requests from Multiprocessor           0           0           0
